year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,role,experience
2025,SE,FT,Data Scientist,145400,USD,145400,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,81600,USD,81600,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,106200,USD,106200,US,100,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,195300,USD,195300,US,0,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,149000,USD,149000,US,0,US,M,Data Engineer,Senior
2025,MI,FT,Data Engineer,183300,USD,183300,US,100,US,M,Data Engineer,Mid
2025,MI,FT,Data Engineer,117000,USD,117000,US,100,US,M,Data Engineer,Mid
2025,SE,FT,Data Engineer,213850,USD,213850,US,100,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,136800,USD,136800,US,100,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,146550,USD,146550,US,0,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,101200,USD,101200,US,0,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,200700,USD,200700,US,0,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,175800,USD,175800,US,0,US,M,Data Engineer,Senior
2025,EX,FT,Data Engineer,195000,USD,195000,US,0,US,M,Data Engineer,Executive
2025,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M,Data Engineer,Senior
2025,SE,FT,Data Engineer,93000,USD,93000,US,100,US,M,Data Engineer,Senior
2025,SE,FT,Machine Learning Engineer,223000,USD,223000,US,0,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,191000,USD,191000,US,0,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,210000,USD,210000,US,100,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,106200,USD,106200,US,100,US,M,ML Engineer,Senior
2025,MI,FT,Machine Learning Engineer,150250,USD,150250,US,0,US,M,ML Engineer,Mid
2025,MI,FT,Machine Learning Engineer,120000,USD,120000,US,0,US,M,ML Engineer,Mid
2025,MI,FT,Machine Learning Engineer,175000,USD,175000,US,100,US,M,ML Engineer,Mid
2025,MI,FT,Machine Learning Engineer,130000,USD,130000,US,100,US,M,ML Engineer,Mid
2025,SE,FT,Machine Learning Engineer,331200,USD,331200,US,0,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,163000,USD,163000,US,0,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,240000,USD,240000,US,100,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,M,ML Engineer,Senior
2025,MI,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M,ML Engineer,Mid
2025,MI,FT,Machine Learning Engineer,117000,USD,117000,US,100,US,M,ML Engineer,Mid
2025,SE,FT,Machine Learning Engineer,153738,USD,153738,US,0,US,M,ML Engineer,Senior
2025,SE,FT,Machine Learning Engineer,107617,USD,107617,US,0,US,M,ML Engineer,Senior
2025,SE,FT,Data Scientist,235400,USD,235400,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,213146,USD,213146,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,166000,USD,166000,CA,100,CA,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,103000,USD,103000,CA,100,CA,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,217000,USD,217000,US,100,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,127000,USD,127000,US,100,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,163064,USD,163064,US,100,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,85000,USD,85000,US,0,US,M,Data Scientist,Senior
2025,MI,FT,Data Scientist,75000,USD,75000,US,0,US,M,Data Scientist,Mid
2025,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M,Data Scientist,Senior
2025,MI,FT,Data Scientist,142000,USD,142000,US,0,US,M,Data Scientist,Mid
2025,MI,FT,Data Scientist,99336,USD,99336,US,0,US,M,Data Scientist,Mid
2025,SE,FT,Data Scientist,115350,USD,115350,US,0,US,M,Data Scientist,Senior
2025,SE,FT,Data Scientist,88300,USD,88300,US,0,US,M,Data Scientist,Senior
2025,MI,FT,Data Scientist,166700,USD,166700,US,0,US,M,Data Scientist,Mid
2025,MI,FT,Data Scientist,101100,USD,101100,US,0,US,M,Data Scientist,Mid
2025,MI,FT,Data Analyst,136800,USD,136800,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,79500,USD,79500,US,0,US,M,Data Analyst,Mid
2025,SE,FT,Data Analyst,119681,USD,119681,US,0,US,M,Data Analyst,Senior
2025,SE,FT,Data Analyst,72534,USD,72534,US,0,US,M,Data Analyst,Senior
2025,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M,Data Analyst,Senior
2025,MI,FT,Data Analyst,162800,USD,162800,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,97700,USD,97700,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,162800,USD,162800,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,97700,USD,97700,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,62000,USD,62000,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,44000,USD,44000,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,115500,USD,115500,US,0,US,M,Data Analyst,Mid
2025,MI,FT,Data Analyst,98175,USD,98175,US,0,US,M,Data Analyst,Mid
2025,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M,Data Analyst,Senior
2025,SE,FT,Analytics Engineer,126000,USD,126000,US,0,US,M,Analytics Engineer,Senior
2025,SE,FT,Analytics Engineer,119000,USD,119000,US,0,US,M,Analytics Engineer,Senior
2025,SE,FT,Analytics Engineer,200000,USD,200000,US,0,US,M,Analytics Engineer,Senior
2025,SE,FT,Analytics Engineer,200000,USD,200000,US,0,US,M,Analytics Engineer,Senior
2025,SE,FT,Analytics Engineer,200000,USD,200000,US,0,US,M,Analytics Engineer,Senior
